База: 2492 слов. Под фотографию отобрано 190.

  147/593  coyote         13.2 КБ q78              426 c   
  148/593  cricket        6.4 КБ q78               431 c   
  149/593  crowd          26.8 КБ q78              435 c   
  150/593  crystal        8.7 КБ q78               439 c   
  151/593  culture        28.0 КБ q78              444 c   
  152/593  currency       16.1 КБ q78              444 c   
  153/593  daddy          10.9 КБ q78              444 c   
  154/593  dam            23.0 КБ q78              449 c   
  155/593  dance          14.6 КБ q78              449 c   
  156/593  dancer         14.6 КБ q78              449 c   
  157/593  dark           нет картинки             451 c   
  158/593  data           нет картинки             452 c   
  159/593  database       16.7 КБ q78              457 c   
  160/593  daughter       15.8 КБ q78              461 c   
  161/593  debt           нет картинки             462 c   
  162/593  deer           32.4 КБ q78              467 c   
  163/593  designer       нет картинки             468 c   
  164/593  desk           9.4 КБ q78               473 c   
  165/593  detective      15.1 КБ q78              477 c   
  166/593  diamond        4.2 КБ q78               481 c   
  167/593  dictionary     12.0 КБ q78              486 c   
  168/593  dingo          26.4 КБ q78              490 c   
  169/593  dinner         16.7 КБ q78              493 c   
  170/593  dishwasher     22.0 КБ q78              497 c   
  171/593  doctor         8.4 КБ q78               497 c   
  172/593  dog            14.6 КБ q78              497 c   
  173/593  dress          8.5 КБ q78               497 c   
  174/593  drive          19.8 КБ q78              497 c   
  175/593  drywall        13.1 КБ q78              501 c   
  176/593  dust           8.4 КБ q78               505 c   
  177/593  eagle          19.5 КБ q78              509 c   
  178/593  earth          нет картинки             511 c   
  179/593  economy        нет картинки             512 c   
  180/593  editor         нет картинки             514 c   
  181/593  education      нет картинки             515 c   
  182/593  egg            6.2 КБ q78               515 c   
  183/593  elephant       нет картинки             517 c   
  184/593  empire         нет картинки             519 c   
  185/593  energy         13.2 КБ q78              523 c   
  186/593  envelope       нет картинки             524 c   
  187/593  espresso       6.7 КБ q78               528 c   
  188/593  essay          нет картинки             530 c   
  189/593  estuary        нет картинки             532 c   
  190/593  expert         нет картинки             533 c   
  191/593  eye            17.3 КБ q78              538 c   
  192/593  face           9.3 КБ q78               541 c   
  193/593  factory        нет картинки             543 c   
  194/593  fairy          нет картинки             545 c   
  195/593  family         11.4 КБ q78              545 c   
  196/593  farm           15.5 КБ q78              549 c   
  197/593  farmer         нет картинки             550 c   
  198/593  fashion        нет картинки             552 c   
  199/593  father         10.9 КБ q78              552 c   
  200/593  fax            11.9 КБ q78              557 c   
  201/593  fence          20.1 КБ q78              561 c   
  202/593  festival       33.5 КБ q78              566 c   
  203/593  fever          9.4 КБ q78               572 c   
  204/593  fiction        нет картинки             574 c   
  205/593  film           3.2 КБ q78               578 c   
  206/593  finger         4.0 КБ q78               583 c   
  207/593  fingerprint    нет картинки             585 c   
  208/593  fish           14.6 КБ q78              585 c   
  209/593  fishing        17.8 КБ q78              585 c   
  210/593  flag           26.5 КБ q78              589 c   
  211/593  flashlight     26.9 КБ q78              595 c   
  212/593  flea           11.7 КБ q78              599 c   
  213/593  flight         15.6 КБ q78              603 c   
  214/593  floor          29.5 КБ q78              603 c   
  215/593  flower         13.3 КБ q78              603 c   
  216/593  fly            10.3 КБ q78              608 c   
  217/593  food           31.6 КБ q78              608 c   
  218/593  footwear       7.8 КБ q78               612 c   
  219/593  forest         23.5 КБ q78              612 c   
  220/593  fort           26.8 КБ q78              617 c   
  221/593  fruit          29.0 КБ q78              621 c   
  222/593  furniture      15.7 КБ q78              626 c   
  223/593  future         7.7 КБ q78               630 c   
  224/593  galaxy         10.7 КБ q78              635 c   
  225/593  game           нет картинки             636 c   
  226/593  garden         27.8 КБ q78              636 c   
  227/593  garland        29.8 КБ q78              641 c   
  228/593  gate           30.5 КБ q78              648 c   
  229/593  gelatin        5.4 КБ q78               652 c   
  230/593  gene           нет картинки             654 c   
  231/593  geology        20.5 КБ q78              659 c   
  232/593  gill           14.6 КБ q78              663 c   
  233/593  girl           нет картинки             664 c   
  234/593  glass          21.8 КБ q78              668 c   
  235/593  gloves         16.3 КБ q78              669 c   
  236/593  goggles        нет картинки             671 c   
  237/593  golf           17.4 КБ q78              676 c   
  238/593  gossip         нет картинки             677 c   
  239/593  government     нет картинки             679 c   
  240/593  grain          33.5 КБ q78              684 c   
  241/593  grass          30.7 КБ q78              688 c   
  242/593  gravel         38.0 КБ q78              693 c   
  243/593  groceries      27.8 КБ q78              693 c   
  244/593  guitar         8.4 КБ q78               693 c   
  245/593  gym            12.6 КБ q78              693 c   
  246/593  gymnastics     8.8 КБ q78               698 c   
  247/593  hair           нет картинки             700 c   
  248/593  hammer         24.7 КБ q78              704 c   
  249/593  head           15.6 КБ q78              709 c   
  250/593  headphones     8.0 КБ q78               709 c   
  251/593  hedge          34.9 КБ q78              713 c   
  252/593  helmet         нет картинки             715 c   
  253/593  highway        28.4 КБ q78              719 c   
  254/593  hill           31.6 КБ q78              724 c   
  255/593  history        нет картинки             725 c   
